#,Chinese,Pinyin,English,Part of Speech,First PoS,Level,Levels
847,司机,sījī,chauffeur; driver,名 n.,名 n.,3,3
848,四季,sìjì,the four seasons,名 n.,名 n.,3,3
849,太阳,tàiyáng,sun,名 n.,名 n.,3,3
850,糖,táng,sugar; sweets; candy,名 n.,名 n.,3,3
851,特别,tèbié,unusual; special; very,形 adj.; 副 adv.,形 adj.,3,3
852,提高,tígāo,to raise; to increase; to improve,动 v.,动 v.,3,3
853,体育,tǐyù,sports; physical education,名 n.,名 n.,3,3
854,体育馆,tǐyùguǎn,gym; gymnasium; stadium,名 n.,名 n.,3,3
855,甜,tián,sweet,形 adj.,形 adj.,3,3
856,跳,tiào,to jump; to hop; to skip over,动 v.,动 v.,3,3
857,听说,tīngshuō,to hear; it is said,动 v.,动 v.,3,3
858,挺,tǐng,quite; very,副 adv.; （动 v.）,副 adv.,3,3（7-9）
859,同事,tóngshì,colleague; co-worker,名 n.,名 n.,3,3
860,同意,tóngyì,to agree; to consent; to approve,动 v.,动 v.,3,3
861,头发,tóufa,hair,名 n.,名 n.,3,3
862,突然,tūrán,sudden; abrupt; unexpected,形 adj.,形 adj.,3,3
863,图书馆,túshūguǎn,library,名 n.,名 n.,3,3
864,腿,tuǐ,leg,名 n.,名 n.,3,3
865,外地,wàidì,another place; out of town,名 n.,名 n.,3,3
866,外卖,wàimài,takeout; food delivery,动 v.; 名 n.,动 v.,3,3
867,外语,wàiyǔ,foreign language,名 n.,名 n.,3,3
868,完成,wánchéng,to complete; to accomplish,动 v.,动 v.,3,3
869,碗,wǎn,bowl,名 n.,名 n.,3,3
870,晚点,wǎndiǎn,late; delayed; behind schedule,动 v.,动 v.,3,3
871,晚会,wǎnhuì,evening party,名 n.,名 n.,3,3
872,网球,wǎngqiú,tennis; tennis ball,名 n.,名 n.,3,3
873,网站,wǎngzhàn,website; network station; node,名 n.,名 n.,3,3
874,忘记,wàngjì,to forget,动 v.,动 v.,3,3
875,为,wèi,because of; for; to,介 prep.,介 prep.,3,3
876,为了,wèile,for; for the purpose of; in order to,介 prep.,介 prep.,3,3
877,卫生间,wèishēngjiān,bathroom; toilet; WC,名 n.,名 n.,3,3
878,文化,wénhuà,culture; civilization; cultural,名 n.,名 n.,3,3
879,屋子,wūzi,house; room,名 n.,名 n.,3,3
880,西,xī,west,名 n.,名 n.,3,3
881,西北,xīběi,Northwest China,名 n.,名 n.,3,3
882,西方,xīfāng,the West; Western,名 n.,名 n.,3,3
883,西瓜,xīguā,watermelon; 個|个,名 n.,名 n.,3,3
884,西南,xīnán,southwest,名 n.,名 n.,3,3
885,习惯,xíguàn,habit; custom; usual practice,动 v.; 名 n.,动 v.,3,3
886,喜爱,xǐ’ài,to like; to love; favorite,动 v.,动 v.,3,3
887,洗衣机,xǐyījī,washing machine; washer,名 n.,名 n.,3,3
888,洗澡,xǐzǎo,to bathe; to take a shower,动 v.,动 v.,3,3
889,夏天,xiàtiān,summer,名 n.,名 n.,3,3
890,先,xiān,early; prior; former,副 adv.,副 adv.,3,3
891,香蕉,xiāngjiāo,banana,名 n.,名 n.,3,3
892,相信,xiāngxìn,to believe,动 v.,动 v.,3,3
893,箱子,xiāngzi,suitcase; chest; box,名 n.,名 n.,3,3
894,向,xiàng,toward; to,动 v.; 介 prep.,动 v.,3,3
895,像,xiàng,to resemble; to be like; to look as if,动 v.; （副 adv.）; （名 n.）,动 v.,3,3（4）（7-9）
896,相机,xiàngjī,camera,名 n.,名 n.,3,3
897,小区,xiǎoqū,residential community,名 n.,名 n.,3,3
898,小心,xiǎoxīn,to be careful; to take care,动 v.; 形 adj.,动 v.,3,3
899,校园,xiàoyuán,campus,名 n.,名 n.,3,3
900,校长,xiàozhǎng,president; headmaster,名 n.,名 n.,3,3
901,鞋,xié,shoe,名 n.,名 n.,3,3
902,心里,xīnlǐ,chest; heart; mind,名 n.,名 n.,3,3
903,新年,xīnnián,New Year,名 n.,名 n.,3,3
904,新闻,xīnwén,news,名 n.,名 n.,3,3
905,新鲜,xīnxiān,fresh; freshness; novel,形 adj.,形 adj.,3,3
906,信,xìn,letter; mail; to trust,动 v.; 名 n.,动 v.,3,3
907,信用卡,xìnyòngkǎ,credit card,名 n.,名 n.,3,3
908,行,xíng,to walk; to go; to travel,动 v.; 形 adj.,动 v.,3,3
909,行李,xíngli,luggage,名 n.,名 n.,3,3
910,兴趣,xìngqù,interest; hobby,名 n.,名 n.,3,3
911,休假,xiūjià,to take a vacation; to be on leave,动 v.,动 v.,3,3
912,需要,xūyào,to need; to want; to demand,动 v.; 名 n.,动 v.,3,3
913,选,xuǎn,to choose; to pick; to select,动 v.,动 v.,3,3
914,选择,xuǎnzé,to select; to pick; choice; option,动 v.,动 v.,3,3
915,学期,xuéqī,term; semester,名 n.,名 n.,3,3
916,牙,yá,tooth; ivory,名 n.,名 n.,3,3
917,牙刷,yáshuā,toothbrush,名 n.,名 n.,3,3
918,羊,yáng,sheep; goat,名 n.,名 n.,3,3
919,养,yǎng,to raise; to keep,动 v.,动 v.,3,3
920,要求,yāoqiú,to request; to require; requirement,动 v.; 名 n.,动 v.,3,3
921,页,yè,page,量 m.w.,量 m.w.,3,3
922,一定,yídìng,surely; certainly; necessarily,形 adj.; 副 adv.,形 adj.,3,3
923,一共,yígòng,altogether,副 adv.,副 adv.,3,3
924,一块儿,yíkuàir,together; in the same place,名 n.; 副 adv.,名 n.,3,3
925,一样,yíyàng,same; like; equal to,形 adj.,形 adj.,3,3
926,以后,yǐhòu,after; later; afterwards,名 n.,名 n.,3,3
927,以前,yǐqián,before; formerly; previous,名 n.,名 n.,3,3
928,以上,yǐshàng,above; more than,名 n.,名 n.,3,3
929,以外,yǐwài,outside; besides; except for,名 n.,名 n.,3,3
930,以为,yǐwéi,to think; to believe mistakenly,动 v.,动 v.,3,3
931,以下,yǐxià,below; less than,名 n.,名 n.,3,3
932,一般,yìbān,ordinary; generally; so-so,形 adj.,形 adj.,3,3
933,一边,yìbiān,at the same time; one side,副 adv.,副 adv.,3,3
934,一直,yìzhí,all the time; continuously,副 adv.,副 adv.,3,3
935,音乐,yīnyuè,music,名 n.,名 n.,3,3
936,银行,yínháng,bank,名 n.,名 n.,3,3
937,银行卡,yínhángkǎ,bank card; ATM card,名 n.,名 n.,3,3
938,饮料,yǐnliào,drink; beverage,名 n.,名 n.,3,3
939,应该,yīnggāi,ought to; should; must,动 v.,动 v.,3,3
940,影响,yǐngxiǎng,influence; effect; to influence,动 v.; 名 n.,动 v.,3,3
941,用,yòng,to use; to employ; to have to,动 v.,动 v.,3,3
942,邮件,yóujiàn,mail; post; email,名 n.,名 n.,3,3
943,游客,yóukè,traveler; tourist; guest player,名 n.,名 n.,3,3
944,游戏,yóuxì,game; to play,名 n.,名 n.,3,3
945,邮箱,yóuxiāng,mailbox; post office box; email,名 n.,名 n.,3,3
946,有关,yǒuguān,to relate to; related to,动 v.; 介 prep.,动 v.,3,3
947,有名,yǒumíng,famous; well-known,形 adj.,形 adj.,3,3
948,有用,yǒuyòng,useful,形 adj.,形 adj.,3,3
949,又,yòu,again; also; both... and...,副 adv.,副 adv.,3,3
950,羽毛球,yǔmáoqiú,badminton; shuttlecock,名 n.,名 n.,3,3
951,语言,yǔyán,language,名 n.,名 n.,3,3
952,雨衣,yǔyī,raincoat,名 n.,名 n.,3,3
953,遇到,yùdào,to meet; to run into,动 v.,动 v.,3,3
954,遇见,yùjiàn,to meet,动 v.,动 v.,3,3
955,园,yuán,garden; park,名 n.,名 n.,3,3
956,员,yuán,person; employee; member,后缀 suff.,后缀 suff.,3,3
957,愿意,yuànyì,to wish; to want; ready,动 v.,动 v.,3,3
958,越,yuè,to exceed; to climb over; to surpass,副 adv.,副 adv.,3,3
959,月亮,yuèliang,the moon,名 n.,名 n.,3,3
960,运动会,yùndònghuì,sports competition,名 n.,名 n.,3,3
961,运动员,yùndòngyuán,athlete; 個|个,名 n.,名 n.,3,3
962,咱们,zánmen,we; us,代 pron.,代 pron.,3,3
963,脏,zāng,dirty; filthy; to get dirty,形 adj.,形 adj.,3,3
964,怎么办,zěnmebàn,what to do,代 pron.,代 pron.,3,3
965,怎样,zěnyàng,how; what kind,代 pron.,代 pron.,3,3
966,站2,zhàn,to stand,动 v.,动 v.,3,3
967,张,zhāng,measure word for flat things; to open,动 v.; 量 m.w.,动 v.,3,3
968,长,zhǎng,chief; head; elder,动 v.; 后缀 suff.,动 v.,3,3
969,着急,zháojí,worried; anxious,形 adj.,形 adj.,3,3
970,照,zhào,according to; to take a photo,动 v.,动 v.,3,3
971,照顾,zhàogù,to take care of,动 v.,动 v.,3,3
972,照片,zhàopiàn,photograph; picture,名 n.,名 n.,3,3
973,照相,zhàoxiàng,to take a photograph,动 v.,动 v.,3,3
974,直到,zhídào,until,动 v.,动 v.,3,3
975,只,zhǐ,only; just,副 adv.,副 adv.,3,3
976,纸,zhǐ,paper,名 n.,名 n.,3,3
977,只能,zhǐnéng,can only,副 adv.,副 adv.,3,3
978,只是,zhǐshì,merely; only; just,副 adv.; 连 conj.,副 adv.,3,3
979,只要,zhǐyào,if only; so long as,连 conj.,连 conj.,3,3
980,只有,zhǐyǒu,only; only if,连 conj.,连 conj.,3,3
981,中,zhōng,within; among; in,名 n.,名 n.,3,3
982,中间,zhōngjiān,middle; between,名 n.,名 n.,3,3
983,终于,zhōngyú,at last; in the end; finally,副 adv.,副 adv.,3,3
984,种,zhǒng,"measure word for types, kinds, sorts",量 m.w.,量 m.w.,3,3
985,重要,zhòngyào,important; significant; major,形 adj.,形 adj.,3,3
986,周末,zhōumò,weekend,名 n.,名 n.,3,3
987,主要,zhǔyào,main; principal; major,形 adj.,形 adj.,3,3
988,注意,zhùyì,to take note of; to pay attention to,动 v.,动 v.,3,3
989,住院,zhùyuàn,to be in hospital; to be hospitalized,动 v.,动 v.,3,3
990,字典,zìdiǎn,dictionary,名 n.,名 n.,3,3
991,自行车,zìxíngchē,bicycle; bike,名 n.,名 n.,3,3
992,子,zi,suffix; -zi,后缀 suff.,后缀 suff.,3,3
993,总,zǒng,general; overall; to sum up,副 adv.; （动 v.; 形 adj.）,副 adv.,3,3（5）
994,总是,zǒngshì,always,副 adv.,副 adv.,3,3
995,嘴,zuǐ,mouth; beak; nozzle,名 n.,名 n.,3,3
996,最好,zuìhǎo,best; had better,副 adv.,副 adv.,3,3
997,最后,zuìhòu,final; last; finally,名 n.,名 n.,3,3
998,最近,zuìjìn,recently; soon; nearest,名 n.,名 n.,3,3
999,做客,zuòkè,to be a guest or visitor,动 v.,动 v.,3,3
1000,作业,zuòyè,school assignment; homework; work,名 n.,名 n.,3,3
